TreatmentId,Treatment,CadreId,Cadre,TimeByPatient
1,Consultation ambulatoire,7,INFIRMIER,0
2,Consultations aux urgences,7,INFIRMIER,0
3,Consultations des survivants des violences sexuelles,7,INFIRMIER,0
4,Notification de nouveaux cas,7,INFIRMIER,0
5,Contre référence vers les CS,7,INFIRMIER,0
6,malades debut du mois,7,INFIRMIER,0
7,malades du mois,7,INFIRMIER,0
8,intervention mineure,7,INFIRMIER,0
9,intervention majeure,7,INFIRMIER,0
10,Echographie,7,INFIRMIER,0
31,Anesthesie,7,INFIRMIER,0
21416,A 1.10 Anémie - notification,7,INFIRMIER,0
21417,A 1.10 Autres nouveaux cas - notification,7,INFIRMIER,0
21418,A 1.10 Carie dentaire - notification,7,INFIRMIER,0
21419,A 1.10 Cataracte - notification,7,INFIRMIER,0
21420,A 1.10 Crise Drépanocytaire - notification,7,INFIRMIER,0
21421,A 1.10 Diabete - notification,7,INFIRMIER,0
21422,A 1.10 Dracunculose - notification,7,INFIRMIER,0
21423,A 1.10 Dysenterie - notification,7,INFIRMIER,0
21424,A 1.10 Epilepsie/crise convulsive - notification,7,INFIRMIER,0
21425,A 1.10 Filariose lymphatique - notification,7,INFIRMIER,0
21426,A 1.10 Géo helminthiase - notification,7,INFIRMIER,0
21427,A 1.10 Glaucome - notification,7,INFIRMIER,0
21428,A 1.10 Goître - notification,7,INFIRMIER,0
21429,A 1.10 Hépatite virale - notification,7,INFIRMIER,0
21430,A 1.10 Hypertension artérielle - notification,7,INFIRMIER,0
21431,A 1.10 Infection Urinaire,7,INFIRMIER,0
21432,A 1.10 Konzo - notification,7,INFIRMIER,0
21433,A 1.10 Onchocercose - notification,7,INFIRMIER,0
21434,A 1.10 Schistosomiase - notification,7,INFIRMIER,0
21435,A 1.10 Toxicomanie - notification,7,INFIRMIER,0
21436,A 1.10 Trouble mental - notification,7,INFIRMIER,0
21437,A 1.10 Trypanosomiase (THA) - notification,7,INFIRMIER,0
21438,A 1.10 Ulcère de buruli - notification,7,INFIRMIER,0
21439,A 1.10 Xérophtalmie - notification,7,INFIRMIER,0
21440,A 1.1 Cas reçus,7,INFIRMIER,0
21441,A 1.2 Ancien cas,7,INFIRMIER,0
21442,A 1.2 Nouveaux cas,7,INFIRMIER,0
21443,A 1.3 Nouveaux cas femmes enceintes,7,INFIRMIER,0
21444,A 1.3 Nouveaux cas indigents,7,INFIRMIER,0
21445,A 1.3 Nouveaux cas mutualistes,7,INFIRMIER,0
21446,A 1.4 Cas suspect,7,INFIRMIER,0
21447,A 1.4 Paludisme grave,7,INFIRMIER,0
21448,A 1.4 Paludisme grave traité,7,INFIRMIER,0
21449,A 1.4 Paludisme présumé,7,INFIRMIER,0
21450,A 1.4 Paludisme présumé traité,7,INFIRMIER,0
21451,A 1.4 Paludisme simple confirmé,7,INFIRMIER,0
21452,A 1.4 Paludisme simple confirmé traité [PN],7,INFIRMIER,0
21453,A 1.4 TDR positif,7,INFIRMIER,0
21454,A 1.4 TDR réalisé,7,INFIRMIER,0
21455,A 1.5 Paludisme grave FE,7,INFIRMIER,0
21456,A 1.5 Paludisme grave traité FE,7,INFIRMIER,0
